x,y
0,334.6977
0.000372,334.717
0.000679,334.7189
0.000349,334.7389
0.001803,334.7242
0.00068,334.6774
0.001425,334.8147
-0.0000063,334.8468
0.001257,334.8559
0.000442,334.8836
-0.000024,334.8165
0.000143,334.8456
0.000125,334.8599
0.0000584,334.8871
0.002045,334.8824
-0.000013,334.8175
0.000588,334.8662
-0.00079,334.8646
-0.00019,334.883
-0.00012,334.8643
0.000896,334.8596
0.00047,334.8412
-0.00055,334.8777
-0.00013,334.8652
0.00089,334.853
0.002597,334.8418
0.001251,334.8384
-0.000053,334.8502
-0.00029,334.8587
0.002035,334.7841
-0.00061,334.9145
-0.00042,334.9024
0.000414,334.9298
0.000224,334.9594
-0.00099,334.8846
-0.00028,334.9401
0.000122,334.9204
-0.00011,334.947
0.001386,334.9588
0.001044,334.8839
-0.00117,334.9282
0.000968,334.9479
0.000826,334.9367
0.000628,334.956
-0.00041,334.883
-0.00038,334.9276
0.001383,334.9482
0.000000456,334.9307
0.000715,334.9008
-0.00043,334.9133
0.000331,334.9323
-0.00077,334.9254
0.00062,334.9376
-0.0007,334.9161
0.001736,335.0821
0.001035,335.0818
0.000189,335.1027
0.000339,335.0977
-0.00131,335.0103
-0.000068,335.0895
0.000592,335.1014
0.000111,335.1155
0.000886,335.0768
0.000163,335.0421
0.000598,335.0892
0.0000607,335.0908
0.000598,335.0608
0.000371,335.1077
-0.00018,335.0446
-0.000076,335.0643
-0.00026,335.1102
0.000712,335.0986
0.001736,335.0608
0.000304,335.0818
-0.0008,335.083
0,335.1061
0.000198,335.092
-0.00099,335.0268
0.000603,335.1133
0.000762,335.1573
0.000647,335.1772
0.000335,335.161
0.000174,335.1117
0.000146,335.1554
0.000754,335.1651
0.000817,335.1563
0.000444,335.1482
-0.00084,335.1033
0.000989,335.1607
0.000874,335.166
0.000542,335.1641
-0.00019,335.1619
-0.00038,335.1289
-0.00048,335.1379
0.000055,335.1432
0.0000733,335.1392
0.000635,335.1223
0.000621,335.1442
-0.00099,335.1694
0.000452,335.1513
0.0000783,335.156
0.001897,335.1077
0.000568,335.2456
0.00225,335.308
0.000132,335.2995
0.000694,335.2992
0.0000283,335.2166
0.001558,335.2849
0.000584,335.2924
-0.00046,335.3192
0.000769,335.3183
0.000323,335.2518
-0.000069,335.3048
0.000236,335.293
0.000628,335.3133
0.000718,335.2924
-0.000072,335.2921
-0.00029,335.2902
0.000448,335.3095
0.000985,335.288
-0.00066,335.2827
0.000394,335.2799
0.000539,335.2646
-0.00041,335.298
0.000234,335.2921
0.000845,335.2396
-0.00017,335.3485
0.000845,335.3595
